0000_00.00.07.640-00.00.09.050	In 1989, 
0000_00.00.09.050-00.00.12.460	Scientist Hank Pym resigns from Shield
0000_00.00.12.460-00.00.17.820	after discovering their attempt to replicate his ant-man shrinking technology.
0000_00.00.17.820-00.00.20.470	Believing the technology is dangerous, Pym vows to hide it as long as he lives.
0000_00.00.20.470-00.00.25.230	In the present day, Pym's estranged daughter, Hope Van Dyne,
0000_00.00.25.230-00.00.29.390	and former protege, Darren Cross, have forced him out of his company, Pym Technologies.
0000_00.00.29.390-00.00.34.700	Cross is close to perfecting a shrinking suit of his own, the Yellowjacket, 
0000_00.00.34.700-00.00.35.230	which horrifies Pym.
0000_00.00.35.235-00.00.39.245	Upon his release from prison, well-meaning thief, Scott Lang, 
0000_00.00.39.245-00.00.41.665	moves in with his old cellmate, Luis.
0000_00.00.41.665-00.00.43.970	Lang visits his daughter, Cassie, unannouned, 
0000_00.00.43.970-00.00.47.530	and is chastised by his former wife, Maggie, 
0000_00.00.47.530-00.00.50.080	and her police detective fiance, Paxton, for not providing child support.
0000_00.00.50.085-00.00.53.375	Unable to hold a job because of his criminal record,
0000_00.00.53.375-00.00.56.595	Lang agrees to join Luis' crew and commit a burglary.
0000_00.00.56.595-00.00.57.635	Lang breaks into a house
0000_00.00.57.635-00.00.58.975	and cracks its safe,
0000_00.00.58.975-00.01.01.760	but only finds what he believes to be an old motorcycle suit, which he takes home.
0000_00.01.01.760-00.01.03.190	UNMATCHED
0000_00.01.03.190-00.01.06.030	After trying the suit on, 
0000_00.01.06.030-00.01.08.080	Lang accidentally shrinks himself to the size of an insect.
0000_00.01.08.080-00.01.09.480	Terrified by the experience, 
0000_00.01.09.480-00.01.10.690	he returns the suit to the house,
0000_00.01.10.690-00.01.12.900	but is arrested on the way out.
0000_00.01.12.900-00.01.16.650	Hank Pym, the homeowner, visits Scott Lang in jail 
0000_00.01.16.650-00.01.19.360	and smuggles the suit into his cell to help him break out.
0000_00.01.19.360-00.01.28.700	Hank Pym, who manipulated Lang through an unknowing Luis, into stealing the suit as a test, wants Lang to become the new ant-man to steal the yellow jacket from Cross.
0000_00.01.28.700-00.01.31.610	Having been spying on Darren Cross after discovering his intentions,
0000_00.01.31.610-00.01.37.010	Hope Van Dyne and Hank Pym train Scott Lang to fight 
0000_00.01.37.010-00.01.38.835	and to control ants.
0000_00.01.38.835-00.01.44.195	While Hope Van Dyne harbors resentment towards her Dad, Hank Pym, about her mother Janet's death, 
0000_00.01.44.195-00.01.51.730	he reveals that Janet, known as the Wasp, disappeared into a subatomic quantum realm while disabling a Soviet nuclear missile.
0000_00.01.51.730-00.01.57.890	Hank Pym warns Scott Lang that he could suffer a similar fate if he overrides his suits' regulator.
0000_00.01.57.900-00.02.02.280	They send him to steal a device that will aid their heist from the Avengers' headquarters, 
0000_00.02.02.280-00.02.05.910	where he briefly fights Falcon, Sam Wilson.
0000_00.02.05.915-00.02.09.625	Cross perfects the Yellowjacket 
0000_00.02.09.625-00.02.11.960	and hosts an unveling ceremony at Pym Technologies' headquarters.
0000_00.02.11.960-00.02.14.340	Scott Lang, along with his crew
0000_00.02.14.340-00.02.18.010	and a swarm of flying ants, infiltrates the building during the event, 
0000_00.02.18.010-00.02.19.860	sabotages the company servers
0000_00.02.19.860-00.02.21.340	and plants explosives.
0000_00.02.21.345-00.02.23.495	When he attempts to steal the yellow jacket, 
0000_00.02.23.495-00.02.30.435	he along with Pym and Hope, are captured by Darren Cross, 
0000_00.02.30.435-00.02.31.775	who intends to sell both the yellow jacket and ant-man suits to Hydra.
0000_00.02.31.775-00.02.35.945	Lang breaks free and he and Hope dispatch most of the Hydra agents,
0000_00.02.35.945-00.02.36.985	though one flees with a vial of Cross' particles
0000_00.02.36.985-00.02.40.245	and Pym is shot.
0000_00.02.40.255-00.02.41.035	Lang pursues Cross
0000_00.02.41.035-00.02.43.745	while the explosives detonate, imploding the building,
0000_00.02.43.745-00.02.45.035	as Pym and Van Dyne escape.
0000_00.02.45.035-00.02.49.665	Darren Cross dons the Yellowjacket and attacks Scott Lang
0000_00.02.49.665-00.02.51.120	before Lang is arrested by Paxton.
